broadcastId,sentDate,cmsUrl,deliveredCount,open,clickUU,videoStartUU,videoCompleteUU,1_imp,1_click,1_videoStart,1_video25,1_video50,1_video75,1_videoComplete,1_videoStartUU,1_video25UU,1_video50UU,1_video75UU,1_videoCompleteUU,2_imp,2_click,2_videoStart,2_video25,2_video50,2_video75,2_videoComplete,2_videoStartUU,2_video25UU,2_video50UU,2_video75UU,2_videoCompleteUU,3_imp,3_click,3_videoStart,3_video25,3_video50,3_video75,3_videoComplete,3_videoStartUU,3_video25UU,3_video50UU,3_video75UU,3_videoCompleteUU
180729211,2020-12-25 22:15:43,https://manager.line.biz/account/@qao3025s/broadcast/180729211,4000,1627,45,174,N/A,438,,188,36,N/A,N/A,N/A,174,32,N/A,N/A,N/A,656,,,,,,,,,,,,1972,N/A,,,,,,,,,,
180790368,2020-12-26 17:08:17,https://manager.line.biz/account/@qao3025s/broadcast/180790368,11709,5146,196,3262,332,1585,,,,,,,,,,,,2170,,3733,1068,699,474,349,3262,973,636,442,332,6294,N/A,,,,,,,,,,
180920549,2020-12-28 11:37:59,https://manager.line.biz/account/@qao3025s/broadcast/180920549,11738,4973,202,751,75,1611,,810,187,131,113,76,751,181,130,112,75,2583,,,,,,,,,,,,5976,N/A,,,,,,,,,,
181179464,2020-12-30 13:01:34,https://manager.line.biz/account/@qao3025s/broadcast/181179464,11773,4609,167,2815,223,1413,,,,,,,,,,,,1765,,3181,653,437,306,237,2815,590,404,286,223,5514,N/A,,,,,,,,,,
181348797,2020-12-31 17:17:05,https://manager.line.biz/account/@qao3025s/broadcast/181348797,11789,4751,146,2881,163,1598,,,,,,,,,,,,1886,,3238,633,393,253,173,2881,578,358,239,163,5664,N/A,,,,,,,,,,
181464973,2021-01-01 12:18:52,https://manager.line.biz/account/@qao3025s/broadcast/181464973,11785,4940,307,731,100,1586,,846,350,209,145,109,731,320,195,135,100,5440,,,,,,,,,,,,6521,N/A,,,,,,,,,,
181842859,2021-01-05 21:32:01,https://manager.line.biz/account/@qao3025s/broadcast/181842859,11961,5908,,1360,682,2153,,1649,1168,981,881,789,1360,971,835,756,682,4415,,,,,,,,,,,,7919,,,,,,,,,,,
182748004,2021-01-13 14:24:37,https://manager.line.biz/account/@qao3025s/broadcast/182748004,12352,5483,152,1229,101,2155,,1347,324,199,148,102,1229,314,198,146,101,2572,,,,,,,,,,,,6503,189,,,,,,,,,,
182874376,2021-01-14 13:32:45,https://manager.line.biz/account/@qao3025s/broadcast/182874376,12338,5244,,805,113,1817,,926,260,202,144,117,805,238,190,138,113,2534,,,,,,,,,,,,6599,,,,,,,,,,,
183088022,2021-01-17 13:37:50,https://manager.line.biz/account/@qao3025s/broadcast/183088022,12427,5578,267,855,122,1996,,945,278,177,144,127,855,268,170,139,122,2416,,,,,,,,,,,,7205,334,,,,,,,,,,
