id,total_price,shipping_price,cart,,,,payment_method,order_datetime,delivery_datetime,,vip_flag,admin_short,fulfilled,order_source,subtotal_price,total_discounts,is_delivery,is_gift,has_custom,is_post,transport,edited,is_corporate,promo_code
8459,1200,250,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-01-23 13:57:23.440935+00,2021-02-13 02:00:00+00,,no,Kung,t,line,950,,t,f,f,f,car,f,f,
8464,950,0,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-01-23 15:05:13.548189+00,2021-02-13 06:00:00+00,,no,Kung,t,line,950,,f,f,f,f,car,f,f,
9231,1170,220,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-05 13:38:43.24251+00,2021-02-13 08:00:00+00,,no,Ja,t,ig,950,,t,f,f,f,car,f,f,
8395,1434,184,"{""heart-M&redvelvet.pink"":1}",,,,qr,2021-01-22 15:18:29.29275+00,2021-02-13 05:00:00+00,,no,Gyan,t,ig,1250,,t,f,f,f,car,f,f,
9976,1390,110,"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":2,""id"":""fnfalhdzsgb"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Double box of 18""}]}",,,,qr,2021-02-11 07:13:26.049008+00,2021-02-11 07:30:00+00,,no,Amy,t,line,1280,,t,f,f,f,bike,f,f,
8578,753,233,"{""heart-S&redvelvet.pink"":1,""custom"":[{""title"":""ค้อน"",""price"":30,""quantity"":1,""id"":""mkb55d8til""}]}",,,,qr,2021-01-26 08:25:25.04525+00,2021-01-26 11:00:00+00,,no,Ja,t,ig,520,,t,f,t,f,bike,f,f,
5970,1500,0,"{""chocpudding-1lb"":1}",,,,qr,2020-11-25 14:56:45.064643+00,2020-11-23 04:30:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
8550,3060,410,"{""coconut-2lb#dearest"":1}",,,,qr,2021-01-26 01:46:30.729442+00,2021-01-29 11:00:00+00,,no,Ja,t,ig,2650,,t,t,f,f,car,f,f,
5690,1902,402,"{""banana-1lb"":1}",,,,qr,2020-11-09 01:59:38.616157+00,2020-11-10 13:00:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
10058,1010,0,"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""qul6ovbyvlg"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""cookie"":[{""count"":""5"",""price"":450,""quantity"":0,""id"":""wnn4wmq2wk"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""giftboxdeathcake"":0,""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""nf6jov2mm3p"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",,,,qr,2021-02-12 10:07:34.595794+00,2021-02-15 01:00:00+00,,no,Kung,t,line,1010,,t,f,f,t,bike,f,f,
10059,2090,190,"{""chocpudding-1lb"":1}",,,,qr,2021-02-12 10:11:27.48737+00,2021-02-12 12:00:00+00,,no,Fa,t,line,1500,200,t,f,t,f,car,f,f,
